date_time,log_details
2022-12-29 14:10:16.201202,"{'error': True, 'title': 'Booking is not available'}"
2022-12-29 14:14:52.253939,"{'error': True, 'title': 'Booking is not available'}"
2023-01-02 12:39:24.271211,"{'error': True, 'message': 'Booking received from channel - Airbnb, Inc, for the property - Royal Studio Residence - Brussels Arts Loi, for2022-12-15to2022-12-19could not be added to the calendar.', 'Reason': 'Booking is not available'}"
2023-01-02 12:52:20.685197,"{'error': True, 'message': 'Booking received from channel - Airbnb, Inc, for the property - Royal Studio Residence - Brussels Arts Loi, for 2022-12-15 to 2022-12-19 could not be added to the calendar.', 'reason': 'Booking is not available'}"
2023-01-02 13:02:47.598022,"{'error': True, 'message': 'Booking received from channel - Airbnb, Inc, for the property - Royal Studio Residence - Brussels Arts Loi, for 2022-12-15 to 2022-12-19 could not be added to the calendar.', 'reason': 'Booking is not available'}"
2023-01-02 13:07:38.148149,"{'error': True, 'message': 'Booking received from channel - Airbnb, Inc, for the property - Royal Studio Residence - Brussels Arts Loi, for 2022-12-15 to 2022-12-19 could not be added to the calendar.', 'reason': 'Booking is not available'}"
2023-01-02 13:28:39.982805,"{'error': True, 'message': 'Booking received from channel - Airbnb, Inc, for the property - Royal Studio Residence - Brussels Arts Loi, for 2022-12-15 to 2022-12-19 could not be added to the calendar.', 'reason': 'Booking is not available'}"
2023-01-02 16:22:48.878805,"{'error': True, 'title': 'check_in is not provided', 'errors': {'errors': [{'msg': 'check_in is not provided', 'param': 'check_in', 'location': 'body'}, {'msg': 'check_out is not provided', 'param': 'check_out', 'location': 'body'}]}}"
2023-01-02 16:32:28.114493,"{'title': ""Cannot access 'start_date' before initialization"", 'error': True, 'msg': 'ok'}"
2023-01-02 16:38:34.139342,"{'title': ""Cannot access 'start_date' before initialization"", 'error': True, 'msg': 'ok'}"
2023-01-02 16:42:22.846191,"{'error': True, 'message': 'Booking received from channel - Booking.com, for the property -  Newton III Boutique Terrace Residence - Brussels EU Area , for 2022-12-12 to 2022-12-17 could not be added to the calendar.', 'reason': 'property does not exist'}"
